setid,appNumbers
f050ba40-bb95-423c-a02b-b0f0c9a46830,120648
12819c34-674e-4f8b-905b-8fea373daff5,141559
831141f7-9458-4de5-9ddc-d183e220fbb7,013149
f542114b-d049-4921-96a4-4047ecc07e13,013149
199dac9d-39a9-459a-8076-8b27f73843ca,012350
5c136c27-8955-41e4-beef-d94fdafae418,012350
b297cc2e-8b96-41d1-a132-d68ccb1326b3,033165
ccf7a5cc-b50a-4dc4-8de8-13c9e36608cb,033165
3ef7cb4b-4462-431b-861b-c1b443fed580,048761
005a4179-b650-4c00-a59c-3ca2ab3c95f5,048761
10cdbd4b-29f8-4592-9871-ad5a15b8f008,048761
803e55e3-5bc0-4023-aaaa-6ccd6460217e,048761
38c5cefd-b3d2-41d4-a2fb-0d6c45d02529,141442
6d462721-ece7-4fef-aef1-e5bb95dd0243,108901
9de94d10-7fab-431c-8520-8f03ff042d50,200738
7f92609c-b1d5-4166-92a1-86163b5aa3db,200611
d37eb56e-55a7-427b-a08a-52a7583a8978,200736
29aa28ea-36ef-431c-af1d-4aeec4c0e82a,200328
0683a5ff-db4a-4612-9261-6101b6d67ccf,200739
4826927c-b0ea-4772-9d0d-8e8934a598e6,200316
c3564269-28e8-4852-9a7c-cc6937cce9ae,121042
6330b4e9-8778-42ac-bee6-e1771a8f4c91,200741
f09ef104-bf28-42a3-ac33-dc77d1c2b334,043290
f86501dd-61c8-451b-ad5e-562e349fbd37,048486
bc723e31-99f6-40cb-94ab-1b64d359fa0d,200374
42cc1948-dec5-4e3d-bf62-37bdf9186eb8,200744
9ac3b539-e770-471e-b4a1-3ed87b9b2030,200743
36feb63e-c146-45ea-b814-45022ae66d15,200746
e05ee31e-bc47-48d2-be81-588ce7ef8a1e,200612
4df78641-53de-438f-bb12-54aa0d4ed192,200747
adc0eb45-6378-4702-817a-764ddb5ae605,031715
24094a36-0c38-4af1-b9ab-b4b12f342e33,043785
71a27a8a-038b-4b6d-8237-d6b58ddf9dc8,015102
48dd3eaa-18e3-430d-ad40-a964b591fb16,141570
e10f7434-d00c-44de-af79-7b0886b2e948,141406
1eb7bc46-cac9-47d2-bbdc-6801690dfbc4,141554
78719718-4a45-4fa2-ae1a-b5270209968f,141571
d56c1e4e-97f5-4d41-b899-b2298f088d56,200450
0dab5a4f-5d4a-4154-9a91-6fef4800865d,200447
3830323e-24f4-412b-a259-e9f81f25e396,200326
